,company,lot_size,last_price,cost_per_lot
0,A V Thomas & Co. Limited Unlisted Shares,10 Shares, ₹ 12500, ₹ 125000
1,Accentia Technologies Limited Unlisted Shares,-,-,-
2,ACS Technologies Limited Unlisted Shares,250 Shares, ₹ 46, ₹ 11500
3,Adtech Systems Limited Unlisted Shares,250 Shares, ₹ 46, ₹ 11500
4,AGS Transact Technologies Unlisted Shares,100 Shares, ₹ 205, ₹ 20500
5,Ahmedabad Stock Exchange Unlisted Shares,250 Shares, ₹ 55, ₹ 13750
6,Amalgamations Repco Limited Unlisted Shares,-,-,-
7,Amol Minechem (Earlier Amol Dicalite) Limited Unlisted Shares,-,-,-
8,Anand Rathi Wealth Services Unlisted Shares (Listed on Exchanges),-,-,-
9,Anglo-French Drugs & Industries Ltd Unlisted Shares,-,-,-
10,Anheuser Busch Inbev (Sabmiller) India Limited Unlisted Shares,100 Shares, ₹ 425, ₹ 42500
11,Anugraha Valve Castings Limited Unlisted Shares,50 Shares, ₹ 325, ₹ 16250
12,APL Metals Unlisted Shares,-,-,-
13,Aptus Value Housing Finance India Unlisted Shares,-,-,-
14,Aricent Technologies (Holdings) Limited Unlisted Shares,50 Shares, ₹ 575, ₹ 28750
15,Arohan Financial Services Unlisted Shares,100 Shares, ₹ 178, ₹ 17800
16,Arthmate Unlisted CCD,-,-,-
17,Assam Carbon Products Limited Unlisted Shares,50 Shares, ₹ 225, ₹ 11250
18,Asscher Enterprises Limited Unlisted Shares,100 Shares, ₹ Best in Industry,-
19,Atlas Copco (India) Limited Unlisted Shares,-,-,-
20,Auckland International Limited Unlisted Shares,100 Shares, ₹ 189, ₹ 18900
21,Axles India Limited Unlisted Shares,-,-,-
22,Badra Estates & Industries Limited Unlisted Shares,25 Shares, ₹ 1258, ₹ 31450
23,Bagrrys India Limited Unlisted Shares,25 Shares, ₹ 2219, ₹ 55475
24,Barbeque Nation Limited Unlisted Shares,-,-,-
25,Bazar India Unlisted Shares,500 Shares, ₹ 40, ₹ 20000
26,Bellary Steel and Alloys Limited Unlisted Shares,10000 Shares, ₹ 1, ₹ 10000
27,Berar Finance Limited Unlisted Shares Price,-,-,-
28,Bharat Hotels Unlisted Shares,100 Shares, ₹ 265, ₹ 26500
29,Bharat Nidhi (Bharat Bank) Unlisted Shares,25 Shares, ₹ 10000, ₹ 250000
30,Bharti Telecom Limited Unlisted Shares,-,-,-
31,Bhatkawa Tea Industries Limited Unlisted Shares,-,-,-
32,Bikaji Foods International Ltd. Unlisted Share,50 Shares, ₹ 395, ₹ 19750
33,Bira Unlisted Shares,100 Shares, ₹ 650, ₹ 65000
34,BLSX Limited Unlisted Shares,-,-,-
35,Boat Unlisted Share Price (Imagine Marketing),25 Shares, ₹ 950, ₹ 23750
36,Bombay Gas Company Limited Unlisted Shares,250 Shares, ₹ 65, ₹ 16250
37,Bombay Swadeshi Stores Limited Unlisted Shares,50 Shares, ₹ 469, ₹ 23450
38,Buy Sell Polymatech Electronics Private Limited,-,-,-
39,BVG India Limited Unlisted Share,25 Shares, ₹ 1150, ₹ 28750
40,C&S Electric Limited Unlisted Shares,25 Shares, ₹ 625, ₹ 15625
41,Calcutta Security Printers Limited Unlisted Shares,-,-,-
42,Calcutta Stock Exchange Unlisted Shares,25 Shares, ₹ 919, ₹ 22975
43,Camac Commercial Company Limited Unlisted Shares,5 Shares, ₹ 35000, ₹ 175000
44,Capgemini Technology Services India Limited Unlisted Shares,10 Shares, ₹ 10900, ₹ 109000
45,Capital Small Finance Bank Unlisted Shares,100 Shares, ₹ 405, ₹ 40500
46,Carbo Ceramics Unlisted Shares,-,-,-
47,Care Health (Previously Religare Health) Insurance Company Limited Unlisted Shares,100 Shares, ₹ 185, ₹ 18500
48,Carol Info Services Unlisted Shares,-,-,-
49,Carrier Airconditioning & Refrigeration Limited Unlisted Shares,100 Shares, ₹ 360, ₹ 36000
50,Catholic Syrian Bank Limited (CSB) Unlisted Shares,100 Shares, ₹ Listed on Exchanges,-
51,Cleartrip Limited Unlisted Shares,-,-,-
52,Coastal Corporation Limited Unlisted Shares,-,-,-
53,Cochin International Airport Limited Unlisted Shares,100 Shares, ₹ 210, ₹ 21000
54,Coffee Day Enterprises (Cafe Coffee Day) Limited Unlisted Shares,-,-,-
55,Cremica Agro Foods Limited Unlisted Shares,250 Shares,-,-
56,CSK Unlisted Shares,250 Shares, ₹ 176, ₹ 44000
57,CTR Manufacturing Industries Limited Unlisted Shares,-,-,-
58,Dalmia Bharat Refractory Unlisted Shares,-,-,-
59,Dalmia Refractories Limited Unlisted Shares,100 Shares, ₹ 715, ₹ 71500
60,Deepak Industries Limited Unlisted Shares,-,-,-
61,Delhi Flour Mills Unlisted Shares,-,-,-
62,Delhi Stock Exchange Unlisted Shares,500 Shares, ₹ 20, ₹ 10000
63,Delhivery Unlisted Shares,100 Shares, ₹ 740, ₹ 74000
64,Deys Medical Stores (Mfg) Limited Unlisted Shares,25 Shares, ₹ 539, ₹ 13475
65,Digvijay Finlease Unlisted Shares,25 Shares, ₹ 2000, ₹ 50000
66,Down Town Hospital Limited Unlisted Shares,100 Shares, ₹ 174, ₹ 17400
67,Eastern Investments Limited (EIL) Unlisted Shares,-,-,-
68,Eaton Fluid Power Limited Unlisted Shares,50 Shares, ₹ 550, ₹ 27500
69,Ecom Express Unlisted Shares,-,-,-
70,Elcid Investment Limited Unlisted Shares,2 Shares, ₹ 160000, ₹ 320000
71,Electrosteel Steels Limited Unlisted Shares,1000 Shares, ₹ 34, ₹ 34000
72,Elofic Industries Limited Unlisted Shares,25 Shares, ₹ Best in Industry,-
73,Empire Spices and Foods Limited Unlisted Shares,100 Shares, ₹ 375, ₹ 37500
74,Epiroc Mining Unlisted Shares,-,-,-
75,ESDS Unlisted Shares,100 Shares, ₹ 245, ₹ 24500
76,Fairfield Atlas Limited Unlisted Shares,50 Shares, ₹ 319, ₹ 15950
77,Federal-Mogul Anand Sealings India Limited Unlisted Shares,-,-,-
78,Fincare Business Finance Unlisted Shares,250 Shares, ₹ 65, ₹ 16250
79,Fincare Small Finance Bank Unlisted Shares,-,-,-
80,Fino Paytech Limited Unlisted Shares,100 Shares, ₹ 165, ₹ 16500
81,Five-Star Business Finance Limited Unlisted Shares,25 Shares, ₹ 575, ₹ 14375
82,Flipkart Unlisted Shares,-,-,-
83,Fresenius Kabi Oncology Unlisted Shares,-,-,-
84,Frick India Limited Unlisted Shares,10 Shares, ₹ 7750, ₹ 77500
85,Gandhar Oil Refinery Limited India Unlisted Shares,50 Shares, ₹ 275, ₹ 13750
86,Ganga Care Hospitals Limited Unlisted Shares,-,-,-
87,Gannon Dunkerley & Company Limited Unlisted Shares,-,-,-
88,GG Automotive Gears Limited Unlisted Shares,500 Shares, ₹ 42, ₹ 21000
89,Gitanjali Gems Limited Unlisted Shares,-,-,-
90,GKN Driveline India Limited Unlisted Shares,25 Shares, ₹ 1250, ₹ 31250
91,Goa Shipyard Limited Unlisted Shares,100 Shares, ₹ 284, ₹ 28400
92,Gobind Sugar Mills Limited Unlisted Shares,100 Shares, ₹ 159, ₹ 15900
93,GoDigit General Insurance Limited Unlisted Shares,-,-,-
94,Good Dot Unlisted Shares,-,-,-
95,Guindy Machine Tools Unlisted Shares,-,-,-
96,Gujarat Credo Mineral Industries Unlisted Shares,-,-,-
97,Gujarat NRE Coke Limited Unlisted Shares,5000 Shares, ₹ 0.5029, ₹ 2514.5
98,Gynofem Healthcare Unlisted Shares Price,-,-,-
99,HDB Financial Services Limited Unlisted Shares,25 Shares, ₹ 715, ₹ 17875
100,HDFC Ergo General Insurance Limited Unlisted Shares,-,-,-
101,HDFC Securities Limited Unlisted Shares,10 Shares, ₹ 11900, ₹ 119000
102,Hella India Lighting Unlisted Shares,25 Shares, ₹ 925, ₹ 23125
103,Hero Fincorp Limited Unlisted Shares,25 Shares, ₹ 1240, ₹ 31000
104,Hexaware Technologies Unlisted Shares,25 Shares, ₹ 620, ₹ 15500
105,Hicks Thermometers India Limited Unlisted Shares,25 Shares, ₹ 1800, ₹ 45000
106,Hindustan Housing Company Unlisted Shares,-,-,-
107,Hindustan Times Unlisted Shares,25 Shares, ₹ 850, ₹ 21250
108,Hindusthan Engineering & Industries Limited Unlisted Shares,100 Shares, ₹ 215, ₹ 21500
109,Hira Ferro Alloys Unlisted Shares,-,-,-
110,Home First Finance Company (HFFC) Limited Unlisted Shares,-,-,-
111,Honeywell Electrical Devices and Systems India Unlisted Shares,10 Shares,-,-
112,Hutti Gold Mines Company Limited Unlisted Shares,1 Shares, ₹ 119838, ₹ 119838
113,ICEX (Indian Commodity Exchange) Limited Unlisted Shares,1000 Shares, ₹ 6.0027, ₹ 6002.7
114,ICL Fincorp Limited Unlisted Shares,500 Shares, ₹ 26, ₹ 13000
115,Incred Holdings Limited Unlisted Shares,-,-,-
116,India Carbon Limited Unlisted Shares,25 Shares, ₹ 975, ₹ 24375
117,India Exposition Mart Ltd Unlisted Share,-,-,-
118,Indian Potash Limited Unlisted Share,25 Shares,-,-
119,Indo Bonito Multinational Limited,-,-,-
120,Indofil Industries Limited Unlisted Shares,25 Shares, ₹ 725, ₹ 18125
